id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38519151,"Artsy BoHo ‘70s Ranch Retreat, Austin Film Fest!!",19124727,Barbara,,78749,30.20436,-97.8383,Private room,40,2,3,2019-11-03,1.45,1,85
38520774,"Room in East Austin Casita, great for ACL",9460573,Wes,,78702,30.26642,-97.6991,Private room,150,2,0,,,2,195
38522220,Rainey St. Studio w/a View in the Heart of Austin,23362220,Amanda,,78701,30.25836,-97.73969,Entire home/apt,165,1,2,2019-09-22,1.07,2,0
38523325,Cozy Bedroom in Franklin Park,50690816,Joey,,78744,30.19945,-97.74222,Private room,199,2,2,2019-09-15,0.95,2,89
38524400,Cozy private bedroom in North Austin,170741549,Uliana,,78758,30.36305,-97.71022,Private room,52,1,2,2019-10-15,1.67,1,0
38526232,Casa Escondida - A Downtown Oasis,293844970,Nathan,,78702,30.26141,-97.7304,Entire home/apt,1399,2,2,2019-11-03,1.87,1,102
38537147,Clarksville/West Downtown Studio,293548668,Dessire,,78703,30.27576,-97.75468,Entire home/apt,200,1,1,2019-10-20,1,1,5
38539489,Private Top Floor Unit (2Bdrm/2Bath),57418201,Paul,,78703,30.28346,-97.75957,Entire home/apt,99,1,3,2019-11-04,1.67,1,4
38542463,*Gorgeous* 3 kings & 1 queen-Walk 2 South Congress,122054131,Kyle,,78704,30.24304,-97.75133,Entire home/apt,199,2,6,2019-11-10,3.27,2,75
38546974,Hyde Park Cottage Close to UT Campus,18253226,Stay Local Austin,,78751,30.31253,-97.71907,Entire home/apt,85,2,14,2019-11-10,7.00,17,132
38548417,Travis Heights Retreat,131313966,Tom,,78704,30.24264,-97.74325,Entire home/apt,1300,3,0,,,1,173
38549249,Central Austin Home- 5 miles to Zilker/UT/Downtown,46959319,Katya & Bobby,,78731,30.3273,-97.75436,Entire home/apt,280,2,2,2019-11-03,2,3,13
38549795,The Perch - A Lofty Home in the Heart East Austin,3670905,Spencer,,78702,30.2553,-97.73217,Entire home/apt,215,3,1,2019-11-04,1,2,0
38550723,"Lovely, two-home, dog-friendly property w/ garden views & a nearby park",201127651,Vacasa Texas,,78704,30.24236,-97.76439,Entire home/apt,454,2,0,,,11,360
38551238,❤️ OF SOUTH CONGRESS /WALKABLE/ FREE PARKING ! ❤️,259250515,Bon Voyage,,78704,30.25521,-97.74555,Entire home/apt,451,2,5,2019-10-31,2.83,4,59
38552190,South Austin Cozy Accommodations Near St. Edwards,20398593,Jasmin,,78704,30.22441,-97.75258,Private room,45,1,3,2019-09-29,1.53,1,41
38554190,"Detached Home, Walk to Apple Campus",12399486,Julie,,78727,30.43874,-97.74018,Entire home/apt,120,60,0,,,9,316
38557072,East 6th Historic Loft - Extremely walkable!!,1488733,Brooke,,78702,30.26377,-97.73226,Entire home/apt,333,1,1,2019-09-22,0.57,33,338
38558718,"Luxury Retreat, Central Austin's Most Desired Area",42714269,Kris,,78752,30.34098,-97.71188,Entire home/apt,250,1,4,2019-10-27,3.75,2,0
38570544,1B/1.5BA Condo by Lady Bird Lake/Boardwalk,16209734,Jan,,78741,30.24574,-97.72772,Entire home/apt,100,1,11,2019-11-10,6.23,1,87
38574328,Central East Abode,1414150,Maite,,78702,30.25561,-97.73313,Private room,150,2,5,2019-11-11,3.85,1,51
